org_cst_key,org_name,org_ogt_code,org_state_incorporated,n53_municipal_type,org_metropolitan_area_ext,org_fips_place_ext,org_prefix_ext,org_city_name_ext,org_fips_county_subdivision_ext
9936ef5e-0a36-426b-a2bc-12f8723283d0,Algarie Martin,City,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b20dfbde-b86a-4455-a2a7-12f895288707,Borough of Lincoln,City,PA,Borough,NULL,4243408,Borough of,Lincoln,NULL
e4c0b41e-c964-48af-b114-12f99e12321c,City of Park,City,KS,City,NULL,2054400,City of,Park,NULL
9dd1a4c6-38b4-4810-a85c-12ff0de21b02,2U,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3b6fbb6-bb09-478e-be72-130256b81527,Town of New Braintree,City,MA,Town,NULL,2502745105,Town of,New Braintree,NULL
ec03757e-a3a2-4377-9776-13069ff38b1a,Town of Westmoreland,City,TN,Town,NULL,4779420,Town of,Westmoreland,NULL
4141b31d-587a-4e3f-9c5b-1307b887997f,City of Hudson,City,NY,City,26460,3635969,City of,Hudson,NULL
3b2aa42b-ac08-4c53-a9a4-130a3d1a9d24,Town of Danby,City,NY,Town,NULL,3610919620,Town of,Danby,NULL
2a05ffd6-a140-4e6c-a6ba-130b6dcc44f2,Borough of Penbrook,City,PA,Borough,NULL,4258712,Borough of,Penbrook,NULL
d1633cd5-578d-4d12-88bc-130f5fcd059b,City of Sedan,City,MN,City,NULL,2759188,City of,Sedan,NULL
8e9a734c-e86a-4b31-89da-131451eea8b2,City of Morven,City,GA,City,NULL,1353032,City of,Morven,NULL
fa91ad11-1ee3-4d62-b655-1314b9fc1e2a,City of Waubun,City,MN,City,NULL,2768674,City of,Waubun,NULL
78ea4f79-9573-4407-87a6-13167aa231e6,Town of Learned,City,MS,Town,NULL,2839880,Town of,Learned,NULL
f6b610f2-c7a0-4042-9acc-13175acf9c45,Town of Eddington,City,ME,Town,NULL,2301922535,Town of,Eddington,NULL
984e780e-2e50-41ce-8a75-1317ecbe4320,Government Information Services,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8d512e04-2abb-407d-8365-131a45d7b78b,Central Library,Library,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9bd96479-bafb-4ceb-a5c8-131a9c3343fb,Town of Chestertown,City,MD,Town,NULL,2416225,Town of,Chestertown,NULL
aa0ac81e-a778-4864-ab51-131f2ff2a32c,City of Waxahachie,City,TX,City,NULL,4876816,City of,Waxahachie,NULL
77e1fd1e-ab7c-4869-b5bd-1320270bd880,City of Henagar,City,AL,City,NULL,0134096,Town of,Henagar,NULL
60ac0a8e-51f8-47f4-b0c0-1321dd35f142,City of Cainsville,City,MO,City,NULL,2910342,City of,Cainsville,NULL
5978cf23-04d3-46f6-b005-132218d2570b,Town of Cooleemee,City,NC,Town,NULL,3714460,Town of,Cooleemee,NULL
f1ebfff0-aa79-4939-bf03-132284de8d8d,City of Odin,City,MN,City,NULL,2748094,City of,Odin,NULL
b8bd4347-5209-4f5b-865c-13249bcff055,"List Strategies, Inc.",Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
cf45f444-8e2b-41b5-9aa9-1324b78df18b,City of Lamar,City,MO,City,NULL,2940376,City of,Lamar,NULL
